,Ticker,Entry,Mar-09,Mar-10,Mar-11,Mar-12,Mar-13,Mar-14,Mar-15,Mar-16,Mar-17,Mar-18,Mar-19,Mar-20,TTM,,,
1,ADANIPORTS,,,,,,,,,,,,,,,,,
,pnl,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,TTM,,,
,,Sales +,1195.00,1496.00,2000.00,2697.00,3577.00,4830.00,6152.00,7109.00,8439.00,11323.00,10925.00,11873.00,11453.00,,,
,,Expenses +,461.00,551.00,701.00,952.00,1115.00,1910.00,2250.00,2535.00,3025.00,4201.00,4330.00,5926.00,4986.00,,,
,,Operating Profit,734.00,944.00,1299.00,1746.00,2461.00,2919.00,3902.00,4574.00,5415.00,7122.00,6596.00,5947.00,6466.00,,,
,,OPM %,0.61,0.63,0.65,0.65,0.69,0.60,0.63,0.64,0.64,0.63,0.60,0.50,0.56,,,
,,Other Income,147.00,194.00,110.00,34.00,264.00,685.00,686.00,733.00,1040.00,879.00,1289.00,1790.00,1911.00,,,
,,Interest,248.00,218.00,167.00,281.00,542.00,977.00,1175.00,1124.00,1116.00,1579.00,1385.00,1813.00,1845.00,,,
,,Depreciation,147.00,187.00,239.00,316.00,422.00,649.00,912.00,1063.00,1160.00,1188.00,1373.00,1680.00,1796.00,,,
,,Profit before tax,486.00,734.00,1004.00,1182.00,1762.00,1978.00,2501.00,3119.00,4179.00,5234.00,5126.00,4244.00,4736.00,,,
,,Tax %,0.11,0.08,0.09,0.08,0.07,0.12,0.07,0.09,0.07,0.30,0.21,0.11,,,,
,,Net Profit,433.00,676.00,918.00,1102.00,1623.00,1740.00,2314.00,2897.00,3912.00,3674.00,3990.00,3763.00,3832.00,,,
,,EPS in Rs,2.16,3.37,4.58,5.50,8.10,8.40,11.18,13.99,18.89,17.74,19.27,18.52,18.87,,,
,,Dividend Payout %,0.28,0.24,0.20,0.18,0.12,0.12,0.10,0.08,0.07,0.11,0.01,0.17,,,,
,,,,,,,,,,,,,,,,,,
,bs,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,44075.00,,,
,,Share Capital +,403.00,403.00,403.00,403.00,403.00,417.00,417.00,414.00,414.00,672.00,680.00,670.00,406.00,,,
,,Reserves,2526.00,3050.00,3786.00,4412.00,5993.00,8351.00,10351.00,12925.00,16946.00,20489.00,23958.00,25051.00,27374.00,,,
,,Borrowings,2896.00,3767.00,3592.00,17565.00,11617.00,12976.00,17773.00,22342.00,22214.00,22112.00,27446.00,29979.00,34367.00,,,
,,Other Liabilities +,1287.00,1494.00,1739.00,3536.00,3025.00,2936.00,3544.00,2704.00,3795.00,4217.00,4493.00,6481.00,9317.00,,,
,,Total Liabilities,7110.00,8712.00,9519.00,25914.00,21035.00,24677.00,32082.00,38385.00,43369.00,47233.00,56311.00,61917.00,71464.00,,,
,,Fixed Assets +,3560.00,4853.00,6391.00,18428.00,11382.00,13163.00,20527.00,20883.00,21054.00,22670.00,28121.00,32715.00,32342.00,,,
,,CWIP,1619.00,1918.00,1717.00,3638.00,2951.00,2025.00,1276.00,1967.00,4514.00,4545.00,4483.00,3216.00,3423.00,,,
,,Investments,207.00,222.00,67.00,70.00,222.00,63.00,260.00,545.00,1161.00,1079.00,782.00,1178.00,1157.00,,,
,,Other Assets +,1723.00,1719.00,1344.00,3778.00,6480.00,9426.00,10020.00,14990.00,16641.00,18938.00,22924.00,24808.00,34543.00,,,
,,Total Assets,7110.00,8712.00,9519.00,25914.00,21035.00,24677.00,32082.00,38385.00,43369.00,47233.00,56311.00,61917.00,71464.00,,,
,,,,,,,,,,,,,,,,,,
,cf,,39873.00,40238.00,40603.00,40969.00,41334.00,41699.00,42064.00,42430.00,42795.00,43160.00,43525.00,43891.00,,,,
,,Cash from Operating Activity +,747.00,1049.00,1209.00,1200.00,1379.00,1132.00,3057.00,2381.00,4063.00,5608.00,6029.00,7402.00,,,,
,,Cash from Investing Activity +,-776.00,-1802.00,-970.00,-13876.00,-5136.00,-2510.00,-2485.00,-4153.00,-2629.00,-3846.00,-4368.00,-749.00,,,,
